city,temperature_c,humidity,wind_speed,weather,timestamp
Munich,12.85,94,0.45,Clouds,2025-06-08 03:30:02
Berlin,11.97,96,4.12,Clear,2025-06-08 03:30:02
Cairo,23.42,78,2.57,Clear,2025-06-08 03:30:02
Madrid,18.18,54,1.03,Clear,2025-06-08 03:30:02
Amsterdam,11.49,86,6.17,Clouds,2025-06-08 03:30:02
Munich,12.84,94,0.45,Clouds,2025-06-08 04:00:02
Berlin,12.49,94,4.12,Clear,2025-06-08 04:00:02
Cairo,22.42,83,2.06,Clear,2025-06-08 04:00:02
Madrid,17.82,55,1.34,Clear,2025-06-08 04:00:02
Amsterdam,11.51,87,4.63,Rain,2025-06-08 04:00:02
Munich,12.85,94,0.89,Clouds,2025-06-08 04:30:01
Berlin,12.71,94,3.6,Clear,2025-06-08 04:30:01
Cairo,22.42,83,2.06,Clear,2025-06-08 04:30:02
Madrid,18.37,53,1.79,Clear,2025-06-08 04:30:02
Amsterdam,11.63,87,3.6,Rain,2025-06-08 04:30:02
Munich,13.14,94,1.79,Clouds,2025-06-08 05:00:02
Berlin,13.14,93,3.58,Clear,2025-06-08 05:00:02
Cairo,23.42,78,1.54,Clear,2025-06-08 05:00:03
Madrid,18.65,52,2.57,Clear,2025-06-08 05:00:03
Amsterdam,11.75,84,7.2,Rain,2025-06-08 05:00:03
Munich,13.46,92,2.68,Rain,2025-06-08 05:30:02
Berlin,13.68,94,3.58,Rain,2025-06-08 05:30:02
Cairo,23.42,78,2.06,Clear,2025-06-08 05:30:03
Madrid,18.1,55,2.24,Clear,2025-06-08 05:30:03
Amsterdam,12.02,87,4.63,Rain,2025-06-08 05:30:03
Munich,13.48,92,1.79,Rain,2025-06-08 06:00:02
Berlin,14.71,92,3.58,Rain,2025-06-08 06:00:02
Cairo,24.42,73,2.57,Clear,2025-06-08 06:00:02
Madrid,17.94,55,2.68,Clear,2025-06-08 06:00:02
Amsterdam,12.16,82,4.63,Rain,2025-06-08 06:00:02
Munich,13.76,91,1.79,Clouds,2025-06-08 06:30:02
